Montana - Election Administrator Contact Information,,,,,,
County,Name,Maining Address,City,Zipcode,Phone,Email
Beaverhead,Stacey Reynolds,2 S Pacific St No 3,Dillon,59725,(406) 683-3720,sreynolds@beaverheadcounty.org
Big Horn,Dulcie Bear Don't Walk,PO Box 908,Hardin,59034,(406) 665-9796,dbeardontwalk@bighorncountymt.gov
Blaine,Tammy Williams,PO Box 278,Chinook,59523,(406) 357-3240,twilliams@blainecounty-mt.gov
Broadwater,Doug Ellis,515 Broadway St,Townsend,59644,(406) 266-3443,dellis@co.broadwater.mt.us
Carbon,Macque Bohleen,PO Box 887,Red Lodge,59068,(406) 446-1220,elections@co.carbon.mt.us
Carter,Pamela Castleberry,Box 315,Ekalaka,59324,(406) 775-8749,cccnrc@midrivers.com
Cascade,Rina Moore,Box 2305,Great Falls,59403,(406) 454-6803,rfmoore@cascadecountymt.gov
Chouteau,Lana Claassen,Box 459,Fort Benton,59442,(406) 622-5151,claassen@itstriangle.com
Custer,Linda Corbett,1010 Main,Miles City,59301,(406) 874-3343,l.corbett@co.custer.mt.us
Daniels,Kristy Jones,Box 247,Scobey,59263,(406) 487-5561,clerkrec@danielsco.mt.gov
Dawson,Shirley Kreiman,207 West Bell,Glendive,59330,(406) 377-3058,kreimans@dawsoncountymontana.com
Deer Lodge,Amanda Wilson,800 Main,Anaconda,59711,(406) 563-4046,awilson@adlc.us
Fallon,Brenda Wood,Box 846,Baker,59313,(406) 778-7106,falloncc@midrivers.com
Fallon,Kathy Newell,Box 846,Baker,59313,(406) 778-7106,newellk@falloncounty.net
Fergus,Rana Wichman,712 W Main,Lewistown,59457,(406) 535-5242,clerkrecorder@co.fergus.mt.us
Flathead,Debbie Pierson,40 11th St W Ste 230,Kalispell,59901,(406) 758-5535,dpierson@flathead.mt.gov
Gallatin,Eric Semerad,311 W Main Rm 210,Bozeman,59715,(406) 582-3060,eric.semerad@gallatin.mt.gov
Gallatin,Casey Hayes,311 W Main Rm 210,Bozeman,59715,(406) 582-3060,casey.hayes@gallatin.mt.gov
Garfield,Jayci Saylor,PO Box 7,Jordan,59337,(406) 557-2760,clerk@garfieldco.us
Glacier,Mandi Bird Kennerly,512 E Main,Cut Bank,59427,(406) 873-3609,mbkennerly@glaciercountymt.org
Golden Valley,Brent Nice,PO Box 10,Ryegate,59074,(406) 568-2231,Clerk@goldenvalleymt.org
Granite,Sarah Graham,Box 925,Philipsburg,59858,(406) 859-3771,sgraham@co.granite.mt.us
Hill,Susan Armstrong,315 4th St,Havre,59501,(406) 265-5481 x221,armstrongs@hillcounty.us
Jefferson,Bonnie Ramey,Box H,Boulder,59632,(406) 225-4020,bramey@jeffersoncounty-mt.gov
Lewis & Clark,Amy Reeves,316 N Park Ave Rm 168,Helena,59623,(406) 447-8339,areeves@lccountymt.gov
Lewis & Clark,Audrey McCue,316 N Park Ave Rm 168,Helena,59623,(406) 447-8339,elections@lccountymt.gov
Liberty,Davin Buffington,Box 459,Chester,59522,(406) 759-5365,clerk@libertycountymt.gov
Lincoln,Chris Nelson,512 California,Libby,59923,(406) 283-2306,cnelson@libby.org
Madison,Kathleen Mumme,Box 366,Virginia City,59755,(406) 843-4270,kmumme@madisoncountymt.gov
McCone,Sherry Kluth,Box 199,Circle,59215,(406) 485-3505,clerk@midrivers.com
Meagher,Penny Plachy,Box 309,White Sulphur Springs,59645,(406) 547-3612 x2,pplachy@meagherco.net
Mineral,Kelann McLees,Box 550,Superior,59872,(406) 822-3520,kmclees@co.mineral.mt.us
Missoula,Bradley Seaman,140 N Russell St,Missoula,59801,(406) 258-4751,electioninfo@missoulacounty.us
Musselshell,Cheryl Tomassi,506 Main,Roundup,59072,(406) 323-1104,ctomassi@co.musselshell.mt.us
Park,Maritza Reddington,414 E Callender St,Livingston,59047,(406) 222-4110,mreddington@parkcounty.org
Petroleum,Janel Tucek,Box 226,Winnett,59087,(406) 429-5311,jtucek@petroleumcountymt.org
Phillips,Lynnel LaBrie,Box 360,Malta,59538,(406) 654-2423,llabrie@mt.gov
Pondera,Kody Farkell,20 4th Ave SW,Conrad,59425,(406) 271-4000,ponderaclerk@3rivers.net
Powder River,Cynde Jo Gatlin,Box 200,Broadus,59317,(406) 436-2361,cgatlin@prco.mt.gov
Powell,Jody Walker,409 Missouri,Deer Lodge,59722,(406) 846-9786,jwalker@powellcountymt.gov
