NORTH CAROLINA   (click below for FL)    -  Early voting / ballot drop off locations             ,,,
This data is from the North Carolina State Board of Elections' statewide list:   https://vt.ncsbe.gov/ossite/GetStatewideList/,,,
"Early-Voting 10/15-10/31. Often M-F 8am-7:30pm, Sat 8-5, Sun 1-5 or closed. But check statewide list for exact times.",,,
County,City,Location,Address
ALAMANCE,GRAHAM,ALAMANCE COUNTY OFFICE ANNEX BUILDING (AUDITORIUM),201 W ELM ST
ALAMANCE,BURLINGTON,ELMIRA COMMUNITY CENTER,810 WICKER ST
ALAMANCE,BURLINGTON,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300
ALAMANCE,BURLINGTON,KERNODLE SENIOR CENTER,1535 S MEBANE ST
ALAMANCE,MEBANE,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST
ALEXANDER,TAYLORSVILLE,ALEXANDER SENIOR CENTER,730 SW 7TH ST
ALEXANDER,TAYLORSVILLE,BETHLEHEM COMMUNITY FIRE/RESCUE,7373 NC HWY 127
ALEXANDER,HIDDENITE,HIDDENITE VOLUNTEER FIRE DEPARTMENT,4975 E NC 90 HWY
ALLEGHANY,SPARTA,ALLEGHANY COUNTY BOARD OF ELECTIONS OFFICE,348 S MAIN ST # 10
ANSON,WADESBORO,ANSON COUNTY BOARD OF ELECTIONS OFFICE,402 MORVEN RD
ASHE,JEFFERSON,ASHE AGRICULTURAL SERVICES BUILDING,134 GOVERNMENT
AVERY,NEWLAND,AVERY COUNTY DIVE IN POOL COMPLEX,220 SHADY ST
BEAUFORT,AURORA,AURORA - AURORA COMMUNITY CENTER,442 3RD ST
BEAUFORT,WASHINGTON,BEAUFORT COUNTY BOARD OF ELECTIONS OFFICE,1308 HIGHLAND DR # 104
BEAUFORT,BELHAVEN,BELHAVEN - JOHN A WILKINSON CENTER,144 W MAIN ST
BEAUFORT,CHOCOWINITY,CHOCOWINITY FIRE DEPARTMENT,512 E NC HWY 33
BERTIE,WINDSOR,BERTIE COUNTY BOARD OF ELECTIONS OFFICE,210 W WATSON ST
BERTIE,LEWISTON WOODVILLE,LEWISTON,103 W CHURCH ST
BERTIE,POWELLSVILLE,POWELLSVILLE TOWN HALL,106 E MAIN ST
BLADEN,HARRELLS,BAY TREE FIRE DEPARTMENT,12717 NC 41 HWY W
BLADEN,ELIZABETHTOWN,BLADEN COUNTY RECREATION DEPT. (GYM),803 W KING ST
BLADEN,BLADENBORO,BLADENBORO,508 MARTIN LUTHER KING JR DR
BLADEN,CLARKTON,BOOKER T WASHINGTON PRIMARY SCHOOL,66 BOOKER T WASHINGTON SCHOOL RD
BLADEN,RIEGELWOOD,EAST ARCADIA,1472 EAST ARCADIA RD
BLADEN,TAR HEEL,TAR HEEL MUNICIPAL BLDG.,14867 NC 87 HWY W
BRUNSWICK,BOLIVIA,COOPERATIVE EXTENSION,25 REFERENDUM DR NE # N
BRUNSWICK,LELAND,LELAND CULTURAL ARTS CENTER,1212 MAGNOLIA VILLAGE WAY
BRUNSWICK,SHALLOTTE,SHALLOTTE COMMONS,5051 MAIN ST # 4
BRUNSWICK,CALABASH,THE BRUNSWICK CENTER AT CALABASH,10050 BEACH DR SW
BRUNSWICK,LELAND,THE BRUNSWICK CENTER AT LELAND,121 TOWN HALL DR NE
BRUNSWICK,SOUTHPORT,THE BRUNSWICK CENTER AT SOUTHPORT,1513 N HOWE ST # 1
BRUNSWICK,SUPPLY,THE BRUNSWICK CENTER AT SUPPLY,101 STONE CHIMNEY DR
BUNCOMBE,ASHEVILLE,ASHEVILLE MALL,3 S TUNNEL RD
BUNCOMBE,ASHEVILLE,ASHEVILLE OUTLETS,800 BREVARD RD
BUNCOMBE,SWANNANOA,BEE TREE FIRE DEPARTMENT,510 BEE TREE RD
BUNCOMBE,BLACK MOUNTAIN,BLACK MOUNTAIN BRANCH LIBRARY,105 N DOUGHERTY ST
BUNCOMBE,ASHEVILLE,DR. WESLEY GRANT SR - SOUTHSIDE CTR.,285 LIVINGSTON RD
BUNCOMBE,CANDLER,ENKA/CANDLER BRANCH LIBRARY,1404 SAND HILL RD
BUNCOMBE,FAIRVIEW,FAIRVIEW COMMUNITY CENTER,1357 CHARLOTTE HWY
BUNCOMBE,ASHEVILLE,HARRAH'S CHEROKEE CENTER ASHEVILLE,87 HAYWOOD ST
BUNCOMBE,ASHEVILLE,LAND OF SKY REGIONAL COUNCIL,339 NEW LEICESTER HWY # 140
BUNCOMBE,LEICESTER,LEICESTER COMMUNITY CENTER,2979 NEW LEICESTER HWY
BUNCOMBE,ASHEVILLE,REYNOLDS VILLAGE,50 N MERRIMON AVE # 107
BUNCOMBE,ASHEVILLE,SOUTH BUNCOMBE BRANCH LIBRARY,260 OVERLOOK RD
BUNCOMBE,ASHEVILLE,TURTLE CREEK SHOPPING CENTER,23 TURTLE CREEK DR
BUNCOMBE,ASHEVILLE,UNIVERSITY OF NORTH CAROLINA ASHEVILLE,1 UNIVERSITY HTS
BUNCOMBE,WEAVERVILLE,WEAVERVILLE TOWN HALL,30 S MAIN ST
BUNCOMBE,ASHEVILLE,WEST ASHEVILLE COMMUNITY CENTER,970 HAYWOOD RD
BURKE,MORGANTON,BURKE COUNTY BOARD OF ELECTIONS OFFICE,2128 S STERLING ST # 100
BURKE,HILDEBRAN,BURKE COUNTY LIBRARY/SENIOR CENTER,101 MAIN AVE W
BURKE,GLEN ALPINE,GLEN ALPINE TOWN HALL,103 PITTS ST
BURKE,RUTHERFORD COLLEGE,RUTHERFORD COLLEGE TOWN HALL,980 MALCOLM BLVD
BURKE,MORGANTON,SENIOR CENTER,501 N GREEN ST # 100
